version,account-id,interface-id,srcaddr,dstaddr,srcport,dstport,protocol,packets,bytes,start,end,action,log-status,label
2,123456789012,eni-0af123456789abcde,10.0.147.189,192.168.163.216,14704,22,6,20,16640,1767933720,1767933750,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.215.71,192.168.157.244,59188,3306,6,48,60432,1767933780,1767933810,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.185.85,192.168.98.208,62442,443,6,22,16830,1767933840,1767933870,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.152.58,192.168.51.103,64935,80,6,5,4635,1767933900,1767933930,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.137.230,192.168.163.67,41480,3306,6,29,39150,1767933960,1767933990,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.239.248,192.168.151.137,15636,3306,6,1,244,1767934020,1767934050,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.241.166,192.168.173.192,17073,443,6,11,8470,1767934080,1767934110,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.85.157,192.168.156.128,10806,22,6,14,3738,1767934140,1767934170,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.181.50,192.168.252.51,25191,22,6,36,43272,1767934200,1767934230,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.99.194,192.168.53.191,59780,5432,6,36,41580,1767934260,1767934290,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.69.152,192.168.123.50,44079,22,6,40,41920,1767934320,1767934350,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.205.247,192.168.16.91,24667,443,6,31,10478,1767934380,1767934410,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.251.58,192.168.126.200,43501,5432,6,37,8177,1767934440,1767934470,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.75.195,192.168.47.79,25660,80,6,20,1040,1767934500,1767934530,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.158.70,192.168.39.83,40272,3306,6,49,27244,1767934560,1767934590,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.96.205,192.168.63.173,47770,80,6,32,18560,1767934620,1767934650,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.10.213,192.168.120.199,54620,3306,6,9,6975,1767934680,1767934710,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.186.153,192.168.189.234,30262,80,6,9,2772,1767934740,1767934770,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.45.165,192.168.34.218,43790,22,6,9,7353,1767934800,1767934830,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.174.75,192.168.46.90,57985,5432,6,23,18906,1767934860,1767934890,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.86.38,192.168.109.215,62642,80,6,48,20064,1767934920,1767934950,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.227.84,192.168.129.31,47609,5432,6,4,1736,1767934980,1767935010,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.27.26,192.168.41.90,33589,22,6,32,35008,1767935040,1767935070,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.207.227,192.168.135.108,27302,22,6,46,36156,1767935100,1767935130,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.249.109,192.168.59.235,12797,5432,6,27,19467,1767935160,1767935190,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.103.92,192.168.26.211,48933,80,6,26,29926,1767935220,1767935250,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.194.23,192.168.95.143,33864,5432,6,31,43431,1767935280,1767935310,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.191.173,192.168.74.80,18963,5432,6,37,49358,1767935340,1767935370,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.173.27,192.168.41.31,43146,80,6,6,5880,1767935400,1767935430,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.225.98,192.168.253.126,23282,80,6,15,14775,1767935460,1767935490,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.239.209,192.168.124.173,44402,42969,6,17,8470142,1767935520,1767935550,ACCEPT,OK,1
2,123456789012,eni-0af123456789abcde,10.0.139.66,192.168.124.47,26284,5432,6,4,5324,1767935580,1767935610,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.89.171,192.168.138.242,39102,22,6,48,15744,1767935640,1767935670,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.195.209,192.168.26.159,65469,443,6,21,15162,1767935700,1767935730,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.83.151,192.168.175.112,20810,22,6,28,2884,1767935760,1767935790,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.187.127,192.168.33.201,14844,80,6,21,6069,1767935820,1767935850,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.141.168,192.168.227.225,50464,443,6,12,1056,1767935880,1767935910,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.105.215,192.168.71.5,3554,3306,6,25,32050,1767935940,1767935970,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.82.145,192.168.137.239,40457,80,6,24,15432,1767936000,1767936030,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.57.52,192.168.198.77,53639,3306,6,20,20520,1767936060,1767936090,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.246.134,192.168.229.203,38551,80,6,11,1155,1767936120,1767936150,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.74.128,192.168.68.94,29278,3306,6,20,3960,1767936180,1767936210,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.56.22,192.168.149.158,55467,3306,6,47,51230,1767936240,1767936270,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.226.44,192.168.194.45,19356,80,6,6,3936,1767936300,1767936330,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.238.16,192.168.196.218,36900,22,6,5,3850,1767936360,1767936390,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.145.56,192.168.117.191,56182,5432,6,31,32767,1767936420,1767936450,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.241.155,192.168.242.254,47352,22,6,1,22724,1767936480,1767936510,REJECT,OK,1
2,123456789012,eni-0af123456789abcde,10.0.29.51,192.168.223.104,7582,22,6,29,34249,1767936540,1767936570,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.134.216,192.168.152.21,39136,5432,6,20,24680,1767936600,1767936630,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.3.80,192.168.247.154,47210,443,6,18,9774,1767936660,1767936690,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.237.162,192.168.114.227,8103,443,6,18,7866,1767936720,1767936750,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.47.139,192.168.129.177,64658,3306,6,16,12384,1767936780,1767936810,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.102.146,192.168.230.106,55097,5432,6,32,13344,1767936840,1767936870,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.81.29,192.168.132.2,40954,22,6,10,1500,1767936900,1767936930,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.233.157,192.168.173.22,59561,443,6,37,24272,1767936960,1767936990,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.205.169,192.168.232.228,57171,5432,6,34,26146,1767937020,1767937050,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.89.230,192.168.0.20,20533,3306,6,25,16575,1767937080,1767937110,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.249.63,192.168.238.96,65496,5432,6,38,22420,1767937140,1767937170,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.216.194,192.168.79.45,55611,80,6,44,63844,1767937200,1767937230,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.31.188,192.168.79.94,20930,80,6,24,25176,1767937260,1767937290,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.233.183,192.168.227.216,11394,80,6,48,53664,1767937320,1767937350,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.226.238,192.168.242.78,41218,443,6,43,20253,1767937380,1767937410,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.175.38,192.168.179.147,23507,80,6,38,42674,1767937440,1767937470,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.215.74,192.168.75.69,30399,22,6,43,55169,1767937500,1767937530,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.63.140,192.168.87.232,15111,443,6,41,39073,1767937560,1767937590,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.1.86,192.168.70.107,8547,5432,6,22,30756,1767937620,1767937650,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.42.122,192.168.33.164,51827,3306,6,28,35644,1767937680,1767937710,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.184.200,192.168.47.129,44727,3306,6,41,31652,1767937740,1767937770,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.140.60,192.168.232.39,47602,22,6,19,28044,1767937800,1767937830,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.233.224,192.168.133.192,51503,597,6,490,364,1767937860,1767937890,REJECT,OK,1
2,123456789012,eni-0af123456789abcde,10.0.1.70,192.168.32.23,38561,80,6,18,24462,1767937920,1767937950,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.215.115,192.168.225.27,3057,22,6,9,5814,1767937980,1767938010,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.129.216,192.168.236.197,31113,80,6,19,2907,1767938040,1767938070,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.19.158,192.168.218.7,4977,5432,6,31,1736,1767938100,1767938130,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.144.32,192.168.46.169,47558,3306,6,49,7448,1767938160,1767938190,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.101.166,192.168.163.30,23181,5432,6,29,5655,1767938220,1767938250,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.20.224,192.168.226.147,33215,80,6,20,15840,1767938280,1767938310,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.160.33,192.168.56.99,56297,443,6,23,7659,1767938340,1767938370,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.167.219,192.168.253.118,36868,3306,6,20,10320,1767938400,1767938430,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.137.148,192.168.130.251,44311,443,6,47,10904,1767938460,1767938490,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.185.29,192.168.185.21,9784,443,6,45,64395,1767938520,1767938550,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.1.138,192.168.239.118,39814,80,6,35,7770,1767938580,1767938610,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.198.160,192.168.197.246,38065,3306,6,35,10815,1767938640,1767938670,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.250.218,192.168.242.60,12222,443,6,36,50796,1767938700,1767938730,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.58.234,192.168.44.95,58776,80,6,9,11736,1767938760,1767938790,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.111.64,192.168.25.195,14411,80,6,30,27270,1767938820,1767938850,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.131.209,192.168.71.28,21656,443,6,1,857,1767938880,1767938910,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.243.217,192.168.92.247,62072,80,6,23,19826,1767938940,1767938970,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.122.74,192.168.172.51,37053,80,6,50,62700,1767939000,1767939030,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.114.213,192.168.170.192,9947,22,6,40,13080,1767939060,1767939090,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.38.147,192.168.251.181,61151,5432,6,29,26419,1767939120,1767939150,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.223.170,192.168.52.102,30913,22,6,3,4494,1767939180,1767939210,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.161.118,192.168.33.114,18912,3306,6,30,31020,1767939240,1767939270,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.153.155,192.168.129.3,54599,22,6,9,8487,1767939300,1767939330,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.246.193,192.168.90.185,6134,80,6,7,2156,1767939360,1767939390,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.34.101,192.168.72.115,27539,5432,6,24,33504,1767939420,1767939450,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.195.223,192.168.230.76,57959,443,6,23,2323,1767939480,1767939510,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.196.149,192.168.192.233,16192,5432,6,19,5605,1767939540,1767939570,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.195.228,192.168.54.9,3427,80,6,16,2096,1767939600,1767939630,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.50.83,192.168.245.189,9017,3306,6,43,35733,1767939660,1767939690,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.32.156,192.168.18.178,56365,80,6,7,9310,1767939720,1767939750,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.133.52,192.168.202.249,26496,5432,6,29,39643,1767939780,1767939810,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.208.37,192.168.61.10,22677,5432,6,49,20237,1767939840,1767939870,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.29.98,192.168.233.208,24812,443,6,43,59125,1767939900,1767939930,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.171.91,192.168.133.99,10414,5432,6,40,30120,1767939960,1767939990,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.205.40,192.168.25.137,22769,22,6,2,1464,1767940020,1767940050,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.227.25,192.168.232.66,63212,22,6,14,11200,1767940080,1767940110,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.241.63,192.168.79.41,47882,80,6,24,29016,1767940140,1767940170,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.137.86,192.168.215.28,12493,443,6,29,15138,1767940200,1767940230,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.38.6,192.168.223.161,1476,22,6,29,13398,1767940260,1767940290,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.150.193,192.168.179.125,18646,80,6,10,3970,1767940320,1767940350,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.175.65,192.168.167.135,60972,80,6,37,54353,1767940380,1767940410,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.11.48,192.168.63.250,9877,80,6,36,50976,1767940440,1767940470,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.130.182,192.168.76.118,5580,443,6,44,38324,1767940500,1767940530,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.109.106,192.168.96.130,40290,5432,6,28,6636,1767940560,1767940590,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.130.83,192.168.144.227,60841,22,6,11,3740,1767940620,1767940650,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.228.122,192.168.1.193,2123,5432,6,36,35604,1767940680,1767940710,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.49.119,192.168.211.87,28816,3306,6,13,7241,1767940740,1767940770,ACCEPT,OK,0
2,123456789012,eni-0af123456789abcde,10.0.21.169,192.168.175.36,31372,5432,6,18,11826,1767940800,1767940830,ACCEPT,OK,0
